id,chID1,chID2,Neuron1,Neuron2,Dist_x,Dist_y,chID1_spikes,chID2_spikes,PS_yes,PS_event,PS_DeltaT,PS_HZ,PS_others,PS_Ratio,PS_pvalue,CI_yes,SC_yes,SC_event,SC_DeltaT_bin,SC_DeltaT_bin_height,SC_DeltaT_m,SC_DeltaT_fq,SC_HZ,SC_Ratio,lambda,probability
229,B8,B9,B8,B9,0,1,318,244,1,154,0.25,0.856,35,0.484,1.36E-136,0,0,187,0,187,0.25,174,1.039,0.588,6,5.84E-203
230,M5,J2,M5,J2,3,3,339,2214,1,154,0.35,0.856,123,0.304,3.83E-75,0,0,195,0,195,0.35,213,1.083,0.575,30,4.66E-89
231,C8,F5,C8,F5,3,3,603,2006,1,149,0.2,0.828,141,0.214,3.61E-73,0,0,194,0,194,0.2,212,1.078,0.322,34,2.00E-79
232,H12,H7,H12,H7,0,5,307,2323,1,147,0,0.817,134,0.453,2.94E-125,0,0,206,0,206,0.05,213,1.144,0.671,24,1.61E-115
233,C6,E4,C6,E4,2,2,332,3212,1,146,0.45,0.811,150,0.22,7.09E-44,0,0,161,0,161,0.5,203,0.894,0.485,36,1.44E-52
234,K4,L5,K4,L5,1,1,204,1903,1,145,0.4,0.806,70,0.446,2.13E-79,0,0,168,0,168,0.4,172,0.933,0.824,12,5.25E-127
235,B8,C10,B8,C10,1,2,318,2272,1,143,0.5,0.794,197,0.399,5.85E-103,0,0,293,0,186,0.5,228,1.628,0.921,21,9.54E-107
236,J5,J2,J5,J2,0,3,302,2214,1,143,0.1,0.794,110,0.341,1.10E-80,0,0,172,0,172,0.1,191,0.956,0.57,27,1.63E-77
237,M5,L4,M5,L4,1,1,339,2677,1,141,0.1,0.783,169,0.333,1.81E-86,0,0,277,0,174,0.1,235,1.539,0.817,25,4.40E-84
238,C6,E7,C6,E7,2,1,332,1747,1,135,0,0.75,98,0.313,2.94E-76,0,0,164,0,164,0.05,182,0.911,0.494,21,1.85E-86
239,C8,F4,C8,F4,3,4,603,1738,1,129,0.35,0.717,80,0.201,8.74E-66,0,0,149,0,149,0.35,164,0.828,0.247,28,9.44E-58
240,K4,J5,K4,J5,1,1,204,302,1,129,0.1,0.717,7,0.446,2.13E-79,0,0,130,0,130,0.1,131,0.722,0.637,4,5.41E-144
241,C6,E5,C6,E5,2,1,332,802,1,127,0.3,0.706,72,0.31,3.83E-75,0,0,135,0,135,0.3,149,0.75,0.407,14,1.84E-82
242,F6,E8,F6,E8,1,2,270,2951,1,121,0.1,0.672,139,0.363,6.87E-75,0,0,159,0,159,0.1,185,0.883,0.589,34,2.36E-54
243,K4,J2,K4,J2,1,2,204,2214,1,117,0.2,0.65,78,0.348,3.61E-55,0,0,140,0,140,0.2,150,0.778,0.686,23,3.99E-61
244,C6,L7,C6,L7,8,1,332,2250,1,114,0.85,0.633,90,0.265,5.89E-59,0,0,134,0,134,0.85,158,0.744,0.404,20,2.64E-63
245,F6,E7,F6,E7,1,1,270,1747,1,112,0.3,0.622,108,0.341,4.45E-68,0,0,181,0,128,0.3,165,1.006,0.67,24,5.59E-50
246,C6,K6,C6,K6,7,0,332,2433,1,111,0.6,0.617,80,0.229,8.56E-47,0,0,135,0,135,0.6,147,0.75,0.407,20,3.91E-64
247,C6,L8,C6,L8,8,2,332,1679,1,106,1,0.589,67,0.223,7.65E-45,0,0,105,1,105,1,140,0.583,0.316,17,7.18E-47
248,J3,E8,J3,E8,4,5,435,2951,1,106,0.85,0.589,186,0.218,1.56E-54,0,0,230,0,147,0.85,190,1.278,0.529,48,1.69E-30
249,F6,E4,F6,E4,1,2,270,3212,1,103,0.3,0.572,150,0.278,9.76E-50,0,0,123,0,123,0.3,165,0.683,0.456,36,7.15E-30
250,C6,C8,C6,C8,0,2,332,603,1,103,0.1,0.572,38,0.235,9.10E-49,0,0,108,0,108,0.1,119,0.6,0.325,9,1.16E-75
